Repos,number_contributor,number_stars,created_date,description,language,number_commit,sloc
tanimutomo/gcmc,2.0,137.0,2019-01-18T10:11:29Z,"Re-Implement ""Graph Convolutional Matrix Completion"" (PyTorch and PyTorch Geometric)",Python,113.0,387.0
google-research/federated,30.0,522.0,2020-09-14T23:09:07Z,A collection of Google research projects related to Federated Learning and Federated Analytics.,Python,579.0,3647.0
AHNU2019/mmcv_ROCM,30.0,4.0,2020-07-14T04:08:29Z,mmcv with AMD ROCM support.,Python,451.0,5917.0
HumanCompatibleAI/learning-from-human-preferences,3.0,10.0,2019-11-13T22:57:33Z,"Reproduction of OpenAI and DeepMind's ""Deep Reinforcement Learning from Human Preferences""",Python,652.0,535.0
ufal/neuralmonkey,17.0,408.0,2016-06-16T10:46:43Z,An open-source tool for sequence learning in NLP built on TensorFlow.,Python,2831.0,14179.0
ray-project/ray,30.0,25101.0,2016-10-25T19:38:30Z,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a toolkit of libraries (Ray AIR) for accelerating ML workloads.,Python,16854.0,294238.0
gaurav67890/mmcv,4.0,47.0,2020-07-07T15:20:30Z,The Verifiably Safe Reinforcement Learning Framework,Python,535.0,2018.0
THuix/bnn_bbb,2.0,21.0,2021-04-14T09:43:55Z,A collection of Korean Text Datasets ready to use using Tensorflow-Datasets.,Python,677.0,342.0
Tessellate-Imaging/Monk_Object_Detection,30.0,13.0,2022-04-20T04:11:18Z,,Python,772.0,78141.0
bertagnolli/MachineLearning,2.0,17.0,2021-08-16T15:53:34Z,Custom ML tracking experiment and debugging tools.,Python,644.0,2912.0
anilksistla/ml-class,5.0,2.0,2023-02-22T01:43:58Z,,Python,300.0,100446.0
Boilevin/AzuritBer,5.0,2376.0,2020-05-09T15:25:47Z,"Visualize and compare datasets, target values and associations, with one line of code.",Python,161.0,16791.0
eracah/supervise-thyself,30.0,4.0,2022-07-14T07:56:07Z,,Python,245.0,143968.0
Octavian-ai/mac-graph,6.0,313.0,2018-04-17T16:05:02Z,Optical music recognition in TensorFlow,Python,816.0,3050.0
tensorflow/moonlight,2.0,83.0,2019-10-30T00:37:06Z,,Python,140.0,30.0
huhydro/ml-class,4.0,2.0,2020-10-01T06:59:08Z,,Python,449.0,515.0
aviresler/antique-gen,4.0,4.0,2021-02-01T21:00:20Z,Enhancing Fairness of Visual Attribute Predictors,Python,123.0,21930.0
OshriHalimi/shape_completion,4.0,3.0,2019-10-16T14:47:41Z,X-Ray image classification and localization,Python,274.0,522429.0
nankyerdason2020/lightning,3.0,5.0,2019-11-18T18:42:37Z,Cookiecutter for evaluating algorithms and training models in nussl,Jupyter Notebook,8602.0,10885.0
zhoudoao-bayes/tf-probability,2.0,15.0,2021-08-07T13:51:50Z,VQVAE for video prediction,Python,2856.0,33.0
200502002/ml-class,2.0,5.0,2020-01-16T17:03:23Z,,Python,299.0,48.0
samuelsmal/drosophVAE,4.0,4.0,2020-08-05T15:29:37Z,,Python,127.0,403634.0
stecaron/deep-stat-thesis,2.0,2.0,2019-11-11T18:35:53Z,Companion repo to DeepForest for training large models from DeepForest python package.,Python,148.0,28091.0
Delaunay/MixedPrecision,5.0,34.0,2019-02-28T00:09:11Z,"TPU enabled Tensorflow implementation of ""Large Scale GAN Training for High Fidelity Natural Image Synthesis"" (BigGAN)",Python,253.0,2182.0
