repository_full_name,number_contributor,number_stars,created_date,description,language,number_commit,sloc
anonymous98762022/autodetailfull2023,2,14,2021-01-13T09:43:16Z,NetSurfP 3.0: Protein secondary structure and relative solvent accessibility prediction,Jupyter Notebook,579,39322
Vraj531/AMC-SSDA,2,15,2021-08-07T13:51:50Z,VQVAE for video prediction,Python,643,33
dileepkanumuri/Sentiment-Analysis,2,23,2019-04-05T09:40:16Z, This implementation of DeePyMoD is no longer maintained! We switched to a PyTorch based implementation: https://github.com/PhIMaL/DeePyMoD_torch,Python,293,176231
deepgram/kur,12,812,2016-11-19T02:42:09Z,Descriptive Deep Learning,Python,584,1873
nguyenvanhoang7398/cs5260,2,2,2022-10-31T20:04:52Z,Automatic Number Plate Recognition Model,Python,1062,71014
MohAlshahrani/Yolo-straw,3,83,2020-06-01T14:14:29Z,"Implementation of Hang et al. 2020 ""Hyperspectral Image Classification with Attention Aided CNNs"" for tree species prediction ",Python,4462,291178
EntilZha/fever,30,7,2018-07-18T06:53:24Z,Working Modified Caffe for AMD GPU's OpenCL for Windows 10 .,C++,126,42970
guohanli/cv-project,4,2,2021-02-25T15:58:47Z,"Transcribe name, date, locality (with constraints) from herbarium specimens using machine learning algorithms. ",Jupyter Notebook,745,746501
charityYao/Identification,4,840,2017-01-26T00:55:39Z,Regressing Robust and Discriminative 3D Morphable Models with a very Deep Neural Network,C++,874,43003
authoranonymous321/ood_estimators,2,3,2022-07-06T01:06:26Z,,Python,122,22919
k223kim/fydp,2,15,2020-03-27T11:16:38Z,"Code for ""Lifting Monocular Events to 3D Human Poses"" - CVPRw 2021",Python,109,33427
MauiDesign/HugginFaceTransformer,2,7,2021-08-07T11:53:36Z,Sentiment Analysis on Twitter data using Bernoulli Naïve Bayes,Python,2600,4593620
Miclin1024/NLST-Similarity-VAE,4,26,2018-03-21T12:29:07Z,An visual summary of representative DNNs and their evolutionary relationships,JavaScript,205,18642
JoleProject/Jole,30,15,2018-07-24T17:29:40Z,Open source platform for the complete machine learning lifecycle,Python,150,4732
keihsgw0605kgsm/yolov5_sample,27,64,2020-11-16T11:38:08Z,,Python,373,216558
kchaehyeon01/AI_HaniumAdvDef,2,2,2022-10-27T02:27:26Z,yolov5-mobileone,Python,5108,13230
stealthspectre/mern-auth-yolo,4,157,2021-10-11T05:34:25Z,PyTorch implementation of DreamerV2 model-based RL algorithm,Python,195,5353
SurajDonthi/AspectBasedSentimentAnalysis,30,2,2018-11-17T21:27:07Z,mlflow with cpp api,Makefile,393,41458
vitalab/castor,7,2,2019-11-01T15:44:35Z,Run DeepRacer Locally,Python,5488,179284
gheinrich/DIGITS-GAN,2,22,2018-07-24T21:56:27Z,MLflow samples - deprecated,Python,274,690
Michael-Vio/yolov5-master,2,437,2019-02-26T18:26:17Z,This repository lets you train neural networks models for performing end-to-end full-page handwriting recognition using the Apache MXNet deep learning frameworks on the IAM Dataset.,Jupyter Notebook,2373,76502
transformervsmlpmixer/Transformer_Vs_MLP_mixer,3,98,2023-01-15T03:19:27Z,YOLOv8 Segmentation with DeepSORT Object Tracking (ID + Trails),Jupyter Notebook,942,28094
