repository_full_name,number_contributor,number_stars,created_date,description,language,number_commit,sloc
SamirMoustafa/auto-features-extraction-for-RL,6,2,2020-05-26T16:50:04Z,Features Extraction using Autoencoders for Reinforcement Learning Tasks,Jupyter Notebook,152,198432
ktonal/mimikit,2,9,2020-10-23T04:17:42Z,Music Modeling Kit,Python,319,23239
15Moners/fluke,3,10,2018-01-25T08:17:56Z, 머신러닝 프레임워크를 활용한 비교사(Unsupervised) 학습 모델 구현 프로젝트,Python,26548,6968
sergevkim/GenerativeModels,30,25,2021-09-11T06:17:18Z,An Open-Source repository where students could showcase their skills by contributing their ML and DL projects!,Jupyter Notebook,18967,262092
LEOCUIZHIHAO/kp_cv,5,8,2019-03-20T16:15:11Z,WIP: evolutionary explorations of weird machines,Rust,605,140292
naddeoa/whylabs-rayio-sample-integrations,3,200,2021-03-22T08:59:00Z,[CVPR'21 Oral] Seeing Out of tHe bOx: End-to-End Pre-training for Vision-Language Representation Learning,Python,1101,452
norbonorbo/30-09,2,2,2021-11-02T18:13:33Z,,Jupyter Notebook,175,15235
gebob19/NeuralNetworkRegularization,3,12,2022-10-05T08:22:42Z,In Defense of the Unitary Scalarization for Deep Multi-Task Learning,Python,165,543
HXWAndCL/mmcv,30,2,2020-04-28T17:41:04Z,Forked versions of MultiResUNet and Keras 2.3.1 for making a deep learning model compatible with Dragonfly 4.1,Python,139,13578
DGU-YJY/yolo_test,2,5,2021-01-01T20:59:23Z,Integrative Transcriptome-Histopathology Analysis for Breast Cancer Classification,Python,122,71306
flaneur-ml/auto-features-extraction-for-RL,3,378,2021-04-30T16:10:45Z,"Code release for ""COTR: Correspondence Transformer for Matching Across Images""(ICCV 2021)",Python,25026,17502
olivyou2/bitcoin-updown-predict,6,2,2020-03-04T00:51:37Z,Xilinx Vitis-AI Mirroring & Practice,SystemVerilog,132,443776
geyang/dmc_gen,5,5,2018-01-18T01:39:50Z,To use deep learning to identify patients whose tumor DNA mutations “look similar to” other tumors for which treatments are effective.,HTML,3552,174178
geyang/env-wrappers,30,5815,2019-08-09T06:17:59Z,"AI Vector Database for LLMs/LangChain. Doubles as a Data Lake for Deep Learning. Store, query, version, & visualize any data. Stream data in real-time to PyTorch/TensorFlow. https://activeloop.ai",Python,587,65426
51lslcscyber/PRcvdeeplearning_execution_lslcyber,2,9,2020-12-03T09:46:33Z,Identify the type of disease present on a Cassava Leaf image,Python,622,2306
aditi-bidgely/Amundsen,4,20,2017-04-03T20:19:28Z,Simple area to test out concepts or try to reproduce isolated issues in Drake.,Jupyter Notebook,293,13583
vltanh/attention-mnist,8,15,2022-03-17T15:31:07Z,,Python,317,2762
zhangliming-gif/a,2,2,2020-05-07T15:28:08Z,A repository of bioinformatics tool definitions generated by aCLImatise,,258,524618
goodok/sgnn,2,3,2020-11-18T23:20:32Z,,JavaScript,28468,40592
G-Research/tensorboard-extensions,10,163,2021-03-11T05:05:35Z,An end-to-end blueprint architecture for real-time fraud detection(leveraging graph database Amazon Neptune) using Amazon SageMaker and Deep Graph Library (DGL) to construct a heterogeneous graph from tabular data and train a Graph Neural Network(GNN) model to detect fraudulent transactions in the IEEE-CIS dataset.,TypeScript,105,11809
kingspp/tf-contrib-analyzer,2,2,2018-09-10T18:22:16Z,Tensorflow Contrib Usage Analysis,Python,188,52900
EKYoonD/StockHelper,5,3,2021-11-30T05:06:13Z,미래기술 시장 예측,Jupyter Notebook,119,374439
hacors/Drug,2,5,2019-12-30T08:01:00Z,,Python,124,1176
pvdthien310/invoice-detect,15,1239,2018-03-10T17:51:43Z,"Live training loss plot in Jupyter Notebook for Keras, PyTorch and others",Python,4120,1838
ronenmashal/ml-p2,5,513,2022-10-31T03:02:21Z,Templating language written for Stable Diffusion workflows. Available as an extension for the Automatic1111 WebUI.,Python,217,16338
friku/ssbu_skill_detection,6,154,2021-09-24T01:41:27Z,,Python,124,263990
kangyuansbu/Text2image,6,17,2019-06-06T15:46:16Z,"a starter-kit for jaynes, the cloud-agnostic launch library",Python,127,2262
boostcampaitech3/level1-image-classification-level1-cv-16,2,37,2019-05-09T08:08:24Z,A framework based on Tensorflow for running variational Monte-Carlo simulations of quantum many-body systems.,Python,124,11024
letsmakeadeal/SinglePersonKeypoints,2,2,2022-04-15T02:44:59Z,Predict Abnormal Chest with Multi-Label Classification on Chest X-rayPredict Abnormal Chest with Multi-Label Classification on Chest X-ray,Jupyter Notebook,120,705384
prabhuteja12/pest,3,378,2021-04-30T16:10:45Z,"Code release for ""COTR: Correspondence Transformer for Matching Across Images""(ICCV 2021)",Python,806,17502
Mostafa-M-Abla/portfolio,2,3,2020-11-18T23:20:32Z,,JavaScript,4120,40592
mhh0318/ControlNetDuo,4,2,2015-10-16T02:54:54Z,A package to support neuroscientists in analyzing MEAs.,Jupyter Notebook,4076,64470
StoyanVenDimitrov/BachelorThesis,2,2,2020-07-26T20:02:14Z,"common mark for python, a module that turns your python module into a document in markdown",Python,604,3566
olivyou2/bitcoin-updown-predict,7,6813,2020-04-29T17:16:12Z,"Code for the paper ""Jukebox: A Generative Model for Music""",Python,293,2810
NetasDev/NetworkTraining,3,73,2019-11-20T05:35:22Z,Official repository of FISR (AAAI 2020). ,Python,677,90315
Bellman-devs/bellman,4,3,2020-10-20T04:44:56Z,,Jupyter Notebook,572,704022
manmeet3/Medical-SSL-SimCLRv2,5,8,2019-03-20T16:15:11Z,WIP: evolutionary explorations of weird machines,Rust,4723,140292
imatge-upc/PiCoEDL,4,584,2016-11-02T13:50:16Z,Generative Adversarial Text to Image Synthesis / Please Star -->,Python,11122,773
wwZhang0215/dl_project,25,1124,2018-03-21T18:22:13Z,A Framework for Encrypted Machine Learning in TensorFlow,Python,175,23475
XiaoXiao-Woo/PanCollection,18,2207,2020-08-14T23:25:32Z,The open standard for data logging,Jupyter Notebook,422,114741
nat06/Navigation_Assistance_for_the_Visually_Impaired,4,24,2020-06-24T14:52:33Z,Threshold independent detection and localization of diffraction-limited spots.,Python,128,345466
zikuicai/WaifuGAN,2,32,2021-10-11T18:41:20Z,"The official implementation of paper Siamese Transformer Pyramid Networks for Real-Time UAV Tracking, accepted by WACV22",Python,563,472
karolpiczak/pytorch-yard,7,4,2020-09-20T06:53:53Z,This is Mercenary Project,C++,3489,484989
Shikhar8990/dgl,3,17,2015-11-18T17:52:12Z,Neptune: Genomic Signature Discovery,Python,258,2717
wduo/pardet-pytorch,2,10,2021-07-19T13:16:27Z,A hydra integrated template for LG-Dacon Competetion ,Python,696,14
nickhuang1996/Dogs_vs_Cats_TensorFlow_Keras,6,383,2021-02-27T16:57:19Z,All the handwritten notes 📝 and source code files 🖥️ used in my YouTube Videos on Machine Learning & Simulation (https://www.youtube.com/channel/UCh0P7KwJhuQ4vrzc3IRuw4Q),Python,4910,97879
PasserBy4/mypretraining,3,516,2021-03-25T06:52:43Z,[ICCV'21] Learning Spatio-Temporal Transformer for Visual Tracking,Python,535,7321
