repository_full_name,number_contributor,number_stars,created_date,description,language,number_commit,sloc
on-nix/python,7,81,2021-08-28T04:22:19Z,"Extensive collection of Python projects from PyPI, for Nix!",Nix,124,5468
edgeai-neptune/neptune,4,15,2021-01-04T03:26:26Z,The project is deprecated. Please move to https://github.com/kubeedge/sedna,Go,123,10614
garyd203/flying-circus,2,6,2017-09-12T10:53:04Z,"A tool for describing AWS infrastructure as (Python) code, built on top of AWS Cloud Formation.",Python,293,1040
TomaszOdrzygozdz/gym-splendor,3,2,2019-10-11T23:52:27Z,The environment for the ,Python,139,12893
hms-dbmi/breastCaPathologyTranscriptomics,2,5,2021-01-01T20:59:23Z,Integrative Transcriptome-Histopathology Analysis for Breast Cancer Classification,Python,276,71306
Fannovel16/comfy_controlnet_preprocessors,5,121,2023-03-02T10:04:28Z,,Python,916,4200
oblivia-simplex/berbalang,5,8,2019-03-20T16:15:11Z,WIP: evolutionary explorations of weird machines,Rust,1031,140292
AdaptiveSubgoalSearch/adaptive_subs,2,17,2022-05-18T10:56:54Z,Adaptive Subgoal Search,Python,1287,6453
chrisjihee/DeepKorean,6,2,2020-03-04T00:51:37Z,Xilinx Vitis-AI Mirroring & Practice,SystemVerilog,152,443776
deepin-community/keras,6,2,2020-05-26T16:50:04Z,Features Extraction using Autoencoders for Reinforcement Learning Tasks,Jupyter Notebook,124,198432
Linkerbrain/Continuous-Time-Graphs,7,1380,2018-11-16T09:34:48Z,🔎 Monitor deep learning model training and hardware usage from your mobile phone 📱,Jupyter Notebook,128,105089
NoSyu/CDMM-B,30,7984,2023-02-12T16:26:27Z,WebUI extension for ControlNet,Python,838,15115
powergee/common-ml-logger,4,20,2017-04-03T20:19:28Z,Simple area to test out concepts or try to reproduce isolated issues in Drake.,Jupyter Notebook,535,13602
aws-samples/amazon-neptune-samples,23,332,2018-04-05T22:37:22Z,Samples and documentation for using the Amazon Neptune graph database service,JavaScript,258,53301
Alex1114/Data-Science,27,263,2018-02-14T05:13:35Z,Tools and utilities to enable loading data and building graph applications with Amazon Neptune.,Java,4462,2375
awslabs/amazon-neptune-tools,7,437,2019-02-26T18:26:17Z,This repository lets you train neural networks models for performing end-to-end full-page handwriting recognition using the Apache MXNet deep learning frameworks on the IAM Dataset.,Jupyter Notebook,587,76502
pearljain7/MentalHealthDetection,4,35,2020-11-03T06:48:03Z,DeepVisualInsight (DVI) is a time-travelling visualization solution for how the classification boundaries of a learned model is trained in two-dimensional space.,Jupyter Notebook,367,233534
mizunt1/gz,12,16,2020-01-31T15:19:49Z,Experimental wandb CLI and Python API - See Experimental section below.,Python,283,22499
bill-teng/mxnet-test,30,11691,2018-04-20T14:49:09Z,"Python package built to ease deep learning on graph, on top of existing DL frameworks.",Python,157,24506
learningandplanningICLR/learningandplanning,2,5,2019-12-30T08:01:00Z,,Python,3881,1176
hunterprice04/python,6,2,2020-03-04T00:51:37Z,Xilinx Vitis-AI Mirroring & Practice,SystemVerilog,131,443776
HPI-DeepLearning-PlaceRecognizer-SS17/AmalgamationMxnet,25,351,2020-02-10T18:51:59Z,The TensorFlow Cloud repository provides APIs that will allow to easily go from debugging and training your Keras and TensorFlow code in a local environment to distributed training in the cloud.,Python,417,1866
sugarme/gotch-docker,2,14,2019-01-30T19:23:07Z,"Hands-On Serverless Deep Learning with TensorFlow and AWS Lambda, published by Packt",Python,40253,138191
sergevkim/SpeechRecognition,27,2,2021-01-26T09:34:05Z,,C++,113,1114823
