project,lines_of_code
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\prabhuteja12,1314
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\profiler,237863
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\pvdthien310,22070
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\pykale,13423
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\pylayers,73829
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\pyro-ppl,93700
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\pysal,7247
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\pytorch,75664
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\PyTorchRL,23325
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\qai222,153158
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\qcraftai,6758
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Raalsky,4202
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ramon-oliveira,2772815
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ravimandal,100
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ray,724263
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ray-project,727140
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\rbg-research,78671
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\researchai,33788
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\researchmm,15007
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\revbucket,22524
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\richardtjornhammar,8902
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\RichardVelder,26023
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\rizar,188039
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\RonBanner,165003
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ronenmashal,1696
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\rstudio,48351
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Rulial,15037
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\rwth-i6,125913
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ryfeus,10436154
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Sachdw,159
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\salesforce,36283
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Samanvitha3740,297763
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\samuelsmal,13597
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\sanjivko,1817
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\SarangGawane,48892
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\sasibhushan3,4085
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\SaukratesK,394
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\sendilk,5533
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\sergevkim,1197
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ShaikVasid,394
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\SharpAI,195190
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ShekharGaurav,156125
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ShevyMittal-GSLab,172
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Shikhar8990,25573
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Shivanshu-Gupta,1525
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ShubhamGoel2295,185
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\shubhang8,90627
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\sirusb,1786
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\sirzzang,101675
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\sky660099,162034
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\skykying,280688
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\skylooop,13284
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\smihir,140458
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\sonineties,40256
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\sony,14044
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\souenxx,160684
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\spacetiller,193475
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\speechbrain,107417
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\splicemachine,16283
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\st-tech,40923
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\stared,1884
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\statisticallyfit,221760
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\stealthspectre,28594
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\stecaron,10649
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\StoyanVenDimitrov,15068
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\StrayCamel247,7797
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\sugarme,378758
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\SukheshNuthalapati,1440048
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\SurajDonthi,943
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\sushantpattanaik,88
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\synbioks,166467
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\T-Sumida,1011
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Takuonon,8244
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\TalBarami,643
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\tanimutomo,557
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\tariqdaouda,50683
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\tbenst,15421
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\tcy63,17726
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\tensorflow,480359
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\TerboucheHacene,2498
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Tessellate-Imaging,534215
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\thanhtonvk,17046
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\theresearchai,64519
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\THuix,2921
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\tianyunfei,270768
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\tmpaul06,30958
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\TNPKpenguin,13631
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\TomaszOdrzygozdz,13074
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\tommaso-green,12386
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\transformervsmlpmixer,1829
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\tuannguyen2103,417
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\TWSFar,59015
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Uberi,2540
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ufal,23692
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\umd-fire-coml,11528
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\undertheseanlp,773
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\unimauro,282187
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\utisetur,2181
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\UW-COSMOS,1524026
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\uwsampl,1185304
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\victoresque,999
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Victorvone,435
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\VirrageS,15667
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\vitalab,1548
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\vltanh,756
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Voice-Privacy-Challenge,19160
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Vraj531,475
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\wahyu-adi-n,589
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\wandb,129506
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\wangqianwen0418,42028
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\wararaki718,11605
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\wasiwasi,26573
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\wassinkl,4386596
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\wduo,3323
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\webnizam,17493
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\weilu,1020123
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\wirenjoel,26338
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\WorldCapital,80256
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\wwydmanski,3493
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\wwZhang0215,5702
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\XiaoXiao-Woo,51142
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ximitiejiang,65052
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\XingxingZhang,220327
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\xuezhou1998,860992
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\YahyaAlaaMassoud,21499
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\yangcyself,6350
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\yolov5-face,12780
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\zaidhassanch,49578
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\zensors,4238
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\zhangliming-gif,1033027
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\zhoudoao-bayes,150252
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\zikuicai,663
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\zuowang,92262
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\zwrok,26617
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\souenxx,160684
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\stecaron,10649
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\SukheshNuthalapati,1440048
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\sushantpattanaik,88
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\synbioks,161957
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Takuonon,8244
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\TalBarami,643
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\tanimutomo,557
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\tbenst,15421
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\tcy63,17726
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\tensorflow,13965
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\TerboucheHacene,2498
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Tessellate-Imaging,516315
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\theresearchai,64519
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\THuix,2625
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\tianyunfei,270768
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\tommaso-green,12386
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\tuannguyen2103,417
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ufal,23692
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\undertheseanlp,773
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\UW-COSMOS,1524026
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Victorvone,435
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\wasiwasi,26573
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\webnizam,17493
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\sirzzang,101675
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\skykying,280688
