project,lines_of_code
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ContinualAI,47487
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\craftmine1000,26735
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\CristianBarsan,14225
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\crs4,277670
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\CSID-DGU,45462
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\cytomining,4626
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\D-X-Y,41560
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\daithimarkham,193
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\DanielGlickmanTAU,3131
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\davidtangGT,25244
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\declare-lab,4385269
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\deepBlink,5067
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\deepcam-cn,12780
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\deepdrive,14460
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\deepgram,16147
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\deepin-community,110314
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\deepmipt,28235
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\deepset-ai,19869
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\defaultobject,2486
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Delaunay,5411
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\deliciafernandes,29164
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\dfdazac,629
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\DGU-YJY,29157
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\dhlab-epfl,13097
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\dianingty-tkp,1125
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\dileepkanumuri,1472
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\djvaroli,1652
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\dkobylianskii,1981
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\dmatrix,15056
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\dmitriy-serdyuk,188482
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\dmlc,239138
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\dogballlee,4250
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\dpressel,50822
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\dstein64,696
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\dunkelhaus,145618
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ederchy,14767
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\edgeai-neptune,903698
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\EKYoonD,227623
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Eleven-Z,21108
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\embedded-bitai,1343492
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\EntilZha,1854
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\eqasim-org,4826
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\eracah,1703
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\eric-erki,94905
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\EricCousineau-TRI,106704
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ericlavigne,3734
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Erlemar,1494
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Eryk96,7239
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\EzSylester,5068
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Fannovel16,81960
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\faqih-ar,11610
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\farisknight13,156
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\fbdesignpro,11809
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\felipecode,16773
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Feretj,158332
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ferraric,4145
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\florpi,3981
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\flying-circus,64482
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\flyteorg,66954
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\FordyceLab,22364
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\freelunchtheorem,38803
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\fresher96,1422
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\friku,5526
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\G-Research,2362
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\garyd203,64482
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\GastonGarciaGonzalez,1309
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\gatmc,823
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\gaurav67890,28516
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\gebob19,666
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\georgedimitriadis,105766
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\georgetown-analytics,939417
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\geyang,55093
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ggiuffre,19358
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\gheinrich,51378
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\gmum,4115
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\goeckslab,24069
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\GoGoGodeep,13514
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\goodok,7891
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\google-research,79069
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\gufengxiaoyuehan,629
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\guohanli,10783
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\hacors,79892
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\hahayonghuming,2992
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\hahnicity,4581
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\hans,147489
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\happpyosu,2327
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\hirune924,1730
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\hms-dbmi,427
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\holy44162,53753
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\honguyenhaituan,6675
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\horovod,77589
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\HPI-DeepLearning-PlaceRecognizer-SS17,224841
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\huhydro,42630
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\HUJI-Deep,6024
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\HumanCompatibleAI,14972
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\hunterprice04,1140219
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\hust-wuwechao,500858
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\HXWAndCL,49279
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\hypnopump,2236
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\i-Dare,7773
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\imatge-upc,29172
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ImportPaddle,101005
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\inferno-pytorch,1439
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\IntelAI,58100
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\isi-nlp,31904
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\istefano82,82143
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\IT-Anfal,13013
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\itoyuimo,16460
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\IvLabs,11317
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\IVSR-SET-HUST,865856
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\JaeDukSeo,171480
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\jamesborg46,4439
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\jamesdolezal,146242
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\jaydu1,12673
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\jeongukjae,7487
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\jglee087,34976
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\jkuck,7921
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\JoleProject,35836
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\joycex99,11686
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\jsicheng,823
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\juanjo3ns,60516
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\jukebox-saveopt,26735
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Jungjee,4314
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Jwuthri,2582
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\k223kim,9770
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\kangyuansbu,4781
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\karolpiczak,897
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\kaufmann-a,2986
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\kaylode,6806
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\kazukiyo17,854
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Keesiu,392528
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\keihsgw0605kgsm,16376
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\kelvincjr,4921333
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\kenyo3023,3390
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\khirotaka,5171
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\kingofthenorth,730
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\kingspp,81920
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\kiudee,7807
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\koustuvsinha,6126
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ktonal,9458
