library,function,line,file
logging.StreamHandler,logging.StreamHandler,289,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\liuluyang530\gpt-pytorch\third_party\onnx\third_party\benchmark\mingw.py
logging.Formatter,logging.Formatter,290,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\liuluyang530\gpt-pytorch\third_party\onnx\third_party\benchmark\mingw.py
logging.getLogger,logging.getLogger,288,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\liuluyang530\gpt-pytorch\third_party\onnx-tensorrt\third_party\onnx\third_party\benchmark\mingw.py
logging.StreamHandler,logging.StreamHandler,289,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\liuluyang530\gpt-pytorch\third_party\onnx-tensorrt\third_party\onnx\third_party\benchmark\mingw.py
logging.Formatter,logging.Formatter,290,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\liuluyang530\gpt-pytorch\third_party\onnx-tensorrt\third_party\onnx\third_party\benchmark\mingw.py
logging.getLogger,logging.getLogger,288,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\liuluyang530\gpt-pytorch\third_party\protobuf\third_party\benchmark\mingw.py
logging.StreamHandler,logging.StreamHandler,289,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\liuluyang530\gpt-pytorch\third_party\protobuf\third_party\benchmark\mingw.py
logging.Formatter,logging.Formatter,290,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\liuluyang530\gpt-pytorch\third_party\protobuf\third_party\benchmark\mingw.py
logging.getLogger,logging.getLogger,40,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\liuluyang530\gpt-pytorch\torch\distributed\rpc\api.py
logging.error,logging.error,180,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\liuluyang530\gpt-pytorch\torch\testing\_internal\common_distributed.py
logging.warning,logging.warning,95,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\liuluyang530\gpt-pytorch\torch\utils\tensorboard\summary.py
logging.warning,logging.warning,98,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\liuluyang530\gpt-pytorch\torch\utils\tensorboard\summary.py
tensorboard.plugins.hparams.api_pb2.HParamInfo,HParamInfo,101,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\liuluyang530\gpt-pytorch\torch\utils\tensorboard\summary.py
tensorboard.plugins.hparams.api_pb2.MetricInfo,MetricInfo,102,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\liuluyang530\gpt-pytorch\torch\utils\tensorboard\summary.py
tensorboard.plugins.hparams.api_pb2.MetricName,MetricName,102,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\liuluyang530\gpt-pytorch\torch\utils\tensorboard\summary.py
tensorboard.plugins.hparams.api_pb2.Experiment,Experiment,104,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\liuluyang530\gpt-pytorch\torch\utils\tensorboard\summary.py
tensorboard.plugins.hparams.plugin_data_pb2.HParamsPluginData,HParamsPluginData,106,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\liuluyang530\gpt-pytorch\torch\utils\tensorboard\summary.py
